Price,Adj Close,Close,High,Low,Open,Volume,returns
2000-01-04,88.29438781738281,139.75,144.0625,139.640625,143.53125,8089800,-0.03910614525139666
2000-01-05,88.45232391357422,140.0,141.53125,137.25,139.9375,12177900,0.0017889087656528524
2000-01-06,87.03076934814453,137.75,141.5,137.75,139.625,6227200,-0.016071428571428625
2000-01-07,92.08524322509766,145.75,145.75,140.0625,140.3125,8066500,0.05807622504537213
2000-01-10,92.4011001586914,146.25,146.90625,145.03125,146.25,5741700,0.0034305317324185847
2000-01-11,91.29545593261719,144.5,146.09375,143.5,145.8125,7503700,-0.011965811965811923
2000-01-12,90.38727569580078,143.0625,144.59375,142.875,144.59375,6907700,-0.009948096885813107
2000-01-13,91.61137390136719,145.0,145.75,143.28125,144.46875,5158300,0.013543031891655843
2000-01-14,92.85525512695312,146.96875,147.46875,145.96875,146.53125,7437300,0.01357758620689653
2000-01-18,92.12471771240234,145.8125,146.625,145.1875,145.34375,6488500,-0.007867318732723838
2000-01-19,92.87496948242188,147.0,147.0,145.0,145.3125,6157900,0.008144020574367694
2000-01-20,91.45339965820312,144.75,146.96875,143.8125,146.96875,5800100,-0.015306122448979553
2000-01-21,91.25598907470703,144.4375,145.5,144.0625,145.5,6244800,-0.0021588946459413227
2000-01-24,88.6695327758789,140.34375,145.84375,139.40625,145.65625,7896900,-0.028342708784076187
2000-01-25,89.67644500732422,141.9375,141.9375,139.0,140.515625,9942500,0.011356045424181671
2000-01-26,88.96569061279297,140.8125,141.546875,140.09375,141.0,5158100,-0.00792602377807139
2000-01-27,88.6103286743164,140.25,142.21875,138.125,141.84375,10922700,-0.003994673768308976
2000-01-28,85.84615325927734,135.875,140.0625,135.53125,139.4375,11916200,-0.031194295900178304
2000-01-31,88.17594146728516,139.5625,139.671875,135.0,135.8125,10768700,0.027138914443422202
2000-02-01,89.04467010498047,140.9375,141.6875,138.53125,139.75,8419900,0.009852216748768461
2000-02-02,89.12366485595703,141.0625,142.25,140.375,141.28125,6205900,0.0008869179600887733
2000-02-03,90.46619415283203,143.1875,143.25,140.0,140.875,7997500,0.015064244572441376
2000-02-04,90.09111022949219,142.59375,144.0,142.125,143.1875,4925400,-0.0041466608467918276
2000-02-07,89.95287322998047,142.375,142.78125,141.4375,142.5625,5845800,-0.0015340784571553634
2000-02-08,91.177001953125,144.3125,144.5625,143.625,143.96875,4936400,0.013608428446005183
2000-02-09,89.2618637084961,141.28125,144.46875,141.265625,144.46875,8511500,-0.021004763967085283
2000-02-10,89.43952941894531,141.5625,142.5625,140.875,141.625,6690600,0.001990710019907027
2000-02-11,87.62313842773438,138.6875,141.9375,138.03125,141.84375,9849800,-0.020309050772626902
2000-02-14,88.13644409179688,139.5,139.78125,138.3125,139.78125,8528800,0.005858494817485349
2000-02-15,89.13352966308594,141.078125,141.21875,137.796875,139.25,11078300,0.011312724014336917
2000-02-16,87.8205337524414,139.0,140.9375,138.796875,140.375,8845400,-0.014730313434488829
2000-02-17,87.36646270751953,138.28125,140.4375,138.21875,140.4375,7584200,-0.005170863309352569
2000-02-18,85.49076843261719,135.3125,138.875,134.625,138.875,9409200,-0.021468926553672274
2000-02-22,85.27361297607422,134.96875,136.34375,133.53125,135.1875,16415400,-0.0025404157043880105
2000-02-23,86.28053283691406,136.5625,137.46875,134.5,135.625,12119000,0.011808288955776902
2000-02-24,84.54306030273438,133.8125,137.03125,133.09375,136.6875,17375000,-0.020137299771167072
2000-02-25,84.23705291748047,133.328125,136.71875,133.125,135.1875,10559900,-0.003619803829985946
2000-02-28,86.00414276123047,136.125,136.6875,132.71875,133.375,13397800,0.020977381928981575
2000-02-29,86.83331298828125,137.4375,137.4375,135.75,136.0625,8242500,0.009641873278236845
2000-03-01,87.46515655517578,138.4375,139.0,137.21875,137.625,6868000,0.007276034561164213
2000-03-02,87.5243911743164,138.53125,139.125,137.34375,138.6875,7600200,0.0006772009029345494
2000-03-03,89.16316223144531,141.125,141.71875,139.71875,140.4375,12770300,0.018723212271599454
2000-03-06,88.29438781738281,139.75,141.34375,138.75,140.8125,11967100,-0.009743135518157642
2000-03-07,86.5865249633789,137.046875,140.15625,135.21875,140.0,20062000,-0.01934257602862255
