date,daily_ret,cumret
2005-01-03,-2.5e-05,0.999975
2005-01-04,0.005957186458803265,1.0059320375291418
2005-01-05,0.0025778393620457135,1.0085251687310273
2005-01-06,0.0011407280251625736,1.0096756216550804
2005-01-07,0.016893893866681418,1.026732974447097
2005-01-10,-0.0009170766204452951,1.0257913816407913
2005-01-11,-0.014199467731527082,1.0112256900179042
2005-01-12,0.0013943053779250092,1.012635647435792
2005-01-13,0.01987976703668831,1.0327666081998617
2005-01-14,-0.0009315502211685311,1.0318045342375777
2005-01-18,-0.0002839957040553509,1.0315115061824294
2005-01-19,0.0014075426097071297,1.0329634025797843
2005-01-20,0.006867704229928939,1.0400574897090433
2005-01-21,0.0021143361910173075,1.0422565209002739
2005-01-24,0.004466253817862087,1.0469115030659364
2005-01-25,0.0033258545746873702,1.0503933784777009
2005-01-26,-0.002302383647599604,1.0479749699395469
2005-01-27,0.0016860362553210995,1.0497418937335339
2005-01-28,0.005824494654894458,1.0558561097826036
2005-01-31,0.006617267400403248,1.0628429919973845
2005-02-01,0.001246004198831474,1.064167298828112
2005-02-02,0.00637196116353711,1.070948131527751
2005-02-03,-0.002853501971278871,1.0678921789232991
2005-02-04,-0.0007284343295106965,1.0671142895999555
2005-02-07,0.0008471633834689629,1.068018309752081
2005-02-08,0.0057424803875056885,1.0741513839493293
2005-02-09,-0.0025017057342658078,1.0714641732726338
2005-02-10,-0.0014757341969374727,1.069882976951342
2005-02-11,0.005391599275987757,1.0756513572352646
2005-02-14,0.009400654629813099,1.085763184146723
2005-02-15,0.009515810348586229,1.0960951006905402
2005-02-16,0.005781849759943614,1.1024325578853431
2005-02-17,-0.0030780114184979224,1.0990392578840482
2005-02-18,-0.0020461602251053423,1.0967904474687364
2005-02-22,-0.0012985833761438859,1.09536617362654
2005-02-23,0.008278673078698118,1.1044343520794586
2005-02-24,-0.001197347355355316,1.1031119605288329
2005-02-25,-0.0012346401605786705,1.1017500142007493
2005-02-28,0.004708919033279274,1.1069380658125347
2005-03-01,-0.004760104534097975,1.1016689249064948
2005-03-02,-0.0020020929741158544,1.0994632812921379
2005-03-03,-0.011141823575049198,1.0872132553847362
2005-03-04,0.004627494930594278,1.092244329212504
2005-03-07,-0.003948530721603644,1.087931568923111
2005-03-08,-0.010486425123689552,1.0765230559859007
2005-03-09,-0.0058833889138057436,1.070189452172857
2005-03-10,0.0026345063661784955,1.0730088730976235
2005-03-11,0.004784007441309223,1.0781421555311135
2005-03-14,-0.001121868343622779,1.0769326219768978
2005-03-15,0.0055368293528686215,1.0828954141293212
2005-03-16,-0.00018431090449627652,1.082695824696068
2005-03-17,0.005681042432571948,1.088846665617735
2005-03-18,0.0057699580222354,1.0951292651710003
2005-03-21,0.005011179892608297,1.1006171549244321
2005-03-22,-0.002856467622091602,1.097473277657072
2005-03-23,-0.0028321782400864415,1.0943650377210152
2005-03-24,-0.0008045791315376138,1.0934845344493804
2005-03-28,0.0017059761372889004,1.0953499929716455
2005-03-29,-0.006067145928105727,1.088704344721937
2005-03-30,0.004342247777629192,1.0934317687433008
2005-03-31,-0.007252314477505645,1.0855018576966793
2005-04-01,-0.003503941014218104,1.0816983232164858
2005-04-04,-0.00020755938092712536,1.0814738065821692
2005-04-05,0.004176564881120759,1.0859906521025922
2005-04-06,0.003036482902518567,1.0892882441499967
2005-04-07,0.00425043987067808,1.0939181983335926
2005-04-08,0.0030634824420125717,1.0972693975271857
2005-04-11,-0.009310508611369533,1.0870532613525166
2005-04-12,0.003179477333051517,1.0905095225568067
2005-04-13,-0.0054022395189252115,1.084618328918286
2005-04-14,-0.019490325813285053,1.063478764304608
2005-04-15,-0.0057004252947403435,1.0574164830561468
2005-04-18,0.0010976738776176996,1.0585771815073597
2005-04-19,0.00686729969638592,1.0658467482645262
2005-04-20,-0.005151548148291364,1.0603559874221418
2005-04-21,0.004098192295526313,1.0647015301603104
2005-04-22,-0.007581622480829576,1.0566293651038734
2005-04-25,0.00835629354346723,1.065458870245329
2005-04-26,-0.0024120541393839795,1.0628889257670104
2005-04-27,-0.0020194631469329597,1.060742460752141
2005-04-28,-0.0002915601323732033,1.0604331905398703
2005-04-29,0.001997947303540115,1.062551880173494
2005-05-02,0.0015646236343907494,1.0642143739579797
2005-05-03,-0.0027911365030265922,1.0612440063717798
2005-05-04,0.0034447673371860166,1.0648997450617137
2005-05-05,-0.0033728343578986464,1.061308014613852
2005-05-06,0.0031177658145712384,1.0646169244605457
2005-05-09,-0.002997801543184936,1.061425414201497
2005-05-10,-0.0019152017610013228,1.0593925703790465
2005-05-11,-0.006818186862914771,1.0521694338730185
2005-05-12,-0.009694783614057068,1.0419688788862946
2005-05-13,0.0019681529122085872,1.0440196329697056
2005-05-16,0.003952847432751427,1.048146483295632
2005-05-17,-0.002843973187633908,1.0451655828004263
2005-05-18,-1.2424119970932956e-05,1.045152597537836
2005-05-19,0.01013251905894673,1.0557426261518958
2005-05-20,-0.0004811496069759397,1.055234656002255
2005-05-23,0.013213953522439469,1.069178477701936
2005-05-24,0.0002789903897989826,1.0694767682221948
2005-05-25,0.002371060467764757,1.0720125623085193
2005-05-26,0.0025503609869154675,1.0747465813249142
2005-05-27,-0.002495098357515241,1.0720649828951052
2005-05-31,-0.004342690054664706,1.0674093369559323
2005-06-01,0.0005580769773882217,1.0680050335323368
2005-06-02,-0.0022981802636995174,1.065550565442741
2005-06-03,-0.009056679918711614,1.055900215034324
2005-06-06,-0.002681880666679982,1.0530684166616802
2005-06-07,-0.008045350650069233,1.0445961119911238
