date,ticker,price,mom_252,cs_rank,raw_signal,regime,weight_target,weight
1990-01-30,AAPL,0.2381815761327743,,,0.0,1.0,0.0,0.0
1990-01-31,AAPL,0.2381815761327743,,,0.0,1.0,0.0,0.0
1990-02-01,AAPL,0.2355548739433288,,,0.0,1.0,0.0,0.0
1990-02-02,AAPL,0.2399337589740753,,,0.0,1.0,0.0,0.0
1990-02-05,AAPL,0.2451873272657394,,,0.0,1.0,0.0,0.0
1990-02-06,AAPL,0.2434361577033996,,,0.0,1.0,0.0,0.0
1990-02-07,AAPL,0.2329279780387878,,,0.0,1.0,0.0,0.0
1990-02-08,AAPL,0.2311767786741256,,,0.0,1.0,0.0,0.0
1990-02-09,AAPL,0.2399337589740753,,,0.0,1.0,0.0,0.0
1990-02-12,AAPL,0.2381815761327743,,,0.0,1.0,0.0,0.0
1990-02-13,AAPL,0.2416848391294479,,,0.0,1.0,0.0,0.0
1990-02-14,AAPL,0.2399337589740753,,,0.0,1.0,0.0,0.0
1990-02-15,AAPL,0.2399337589740753,,,0.0,1.0,0.0,0.0
1990-02-16,AAPL,0.2371921837329864,,,0.0,1.0,0.0,0.0
1990-02-20,AAPL,0.2354351878166198,,,0.0,1.0,0.0,0.0
1990-02-21,AAPL,0.2389489263296127,,,0.0,1.0,0.0,0.0
1990-02-22,AAPL,0.2319214940071106,,,0.0,1.0,0.0,0.0
1990-02-23,AAPL,0.2336783558130264,,,0.0,1.0,0.0,0.0
1990-02-26,AAPL,0.2389489263296127,,,0.0,1.0,0.0,0.0
1990-02-27,AAPL,0.2354351878166198,,,0.0,1.0,0.0,0.0
1990-02-28,AAPL,0.2389489263296127,,,0.0,1.0,0.0,0.0
1990-03-01,AAPL,0.2407066971063614,,,0.0,1.0,0.0,0.0
1990-03-02,AAPL,0.2371921837329864,,,0.0,1.0,0.0,0.0
1990-03-05,AAPL,0.2424634099006652,,,0.0,1.0,0.0,0.0
1990-03-06,AAPL,0.2477340400218963,,,0.0,1.0,0.0,0.0
1990-03-07,AAPL,0.2486125528812408,,,0.0,1.0,0.0,0.0
1990-03-08,AAPL,0.258276104927063,,,0.0,1.0,0.0,0.0
1990-03-09,AAPL,0.2591545283794403,,,0.0,1.0,0.0,0.0
1990-03-12,AAPL,0.2573976516723633,,,0.0,1.0,0.0,0.0
1990-03-13,AAPL,0.2591545283794403,,,0.0,1.0,0.0,0.0
1990-03-14,AAPL,0.2600329220294952,,,0.0,1.0,0.0,0.0
1990-03-15,AAPL,0.258276104927063,,,0.0,1.0,0.0,0.0
1990-03-16,AAPL,0.2828738391399383,,,0.0,1.0,0.0,0.0
1990-03-19,AAPL,0.297807902097702,,,0.0,1.0,0.0,0.0
1990-03-20,AAPL,0.2907805740833282,,,0.0,1.0,0.0,0.0
1990-03-21,AAPL,0.2925373911857605,,,0.0,1.0,0.0,0.0
1990-03-22,AAPL,0.28638756275177,,,0.0,1.0,0.0,0.0
1990-03-23,AAPL,0.2969295978546142,,,0.0,1.0,0.0,0.0
1990-03-26,AAPL,0.2969295978546142,,,0.0,1.0,0.0,0.0
1990-03-27,AAPL,0.2951726019382477,,,0.0,1.0,0.0,0.0
1990-03-28,AAPL,0.2899020314216614,,,0.0,1.0,0.0,0.0
1990-03-29,AAPL,0.2890236377716064,,,0.0,1.0,0.0,0.0
1990-03-30,AAPL,0.2828738391399383,,,0.0,1.0,0.0,0.0
1990-04-02,AAPL,0.2828738391399383,,,0.0,1.0,0.0,0.0
1990-04-03,AAPL,0.2934157252311706,,,0.0,1.0,0.0,0.0
1990-04-04,AAPL,0.2899020314216614,,,0.0,1.0,0.0,0.0
1990-04-05,AAPL,0.2828738391399383,,,0.0,1.0,0.0,0.0
1990-04-06,AAPL,0.2802384495735168,,,0.0,1.0,0.0,0.0
1990-04-09,AAPL,0.2890236377716064,,,0.0,1.0,0.0,0.0
1990-04-10,AAPL,0.2899020314216614,,,0.0,1.0,0.0,0.0
1990-04-11,AAPL,0.2986864149570465,,,0.0,1.0,0.0,0.0
1990-04-12,AAPL,0.3039579689502716,,,0.0,1.0,0.0,0.0
1990-04-16,AAPL,0.3074715435504913,,,0.0,1.0,0.0,0.0
1990-04-17,AAPL,0.3039579689502716,,,0.0,1.0,0.0,0.0
1990-04-18,AAPL,0.3039579689502716,,,0.0,1.0,0.0,0.0
1990-04-19,AAPL,0.2828738391399383,,,0.0,1.0,0.0,0.0
1990-04-20,AAPL,0.2828738391399383,,,0.0,1.0,0.0,0.0
1990-04-23,AAPL,0.2793601155281067,,,0.0,1.0,0.0,0.0
1990-04-24,AAPL,0.2723318636417389,,,0.0,1.0,0.0,0.0
1990-04-25,AAPL,0.2723318636417389,,,0.0,1.0,0.0,0.0
1990-04-26,AAPL,0.2732101380825043,,,0.0,1.0,0.0,0.0
1990-04-27,AAPL,0.2749671041965484,,,0.0,1.0,0.0,0.0
1990-04-30,AAPL,0.2767248749732971,,,0.0,1.0,0.0,0.0
